date,trained (Y/N),split,sleep_start,sleep_end,sleep_quality (1-5),resting_hr (bpm),hrv (ms),"soreness (Muscle:Level,...)",stress (1-5),motivation (1-5),total_sets,failure_sets,total_rir,calories (kcal),protein (g),carbs (g),fat (g),workout_notes (muscle: exercise details)
2025-06-26,Y,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2200,160,250,70,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-06-27,N,,23:00,06:30,4,55,50.2,Legs:Moderate,2,5,,,,2000,140,180,65,
2025-06-28,N,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2155,155,240,68,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-06-29,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2031,154,200,68,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-06-30,Y,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2176,159,225,66,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-01,N,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2151,145,233,70,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-02,Y,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2016,149,222,65,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-03,Y,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2057,153,213,69,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-04,N,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2057,153,230,68,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-05,Y,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2033,147,181,68,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-06,Y,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2134,145,199,65,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-07,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2103,155,226,67,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-08,N,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2107,152,192,69,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-09,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2092,141,236,67,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-10,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2146,149,219,70,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-11,Y,Upper Body (Push),23:00,06:30,4,55,50.2,"Chest:High,Back:Moderate",2,5,12.0,3.0,5.0,2149,152,224,66,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-12,Y,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2021,154,180,70,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-13,Y,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2134,157,187,66,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-14,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2063,146,229,68,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-15,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2106,146,216,67,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-16,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2011,145,181,66,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
2025-07-17,N,Upper Body (Push),23:00,06:30,4,55,50.2,Legs:Moderate,2,5,12.0,3.0,5.0,2067,150,217,69,"Chest: Bench Press 3x8@RPE8, Triceps: Dips 3x10"
